Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Max Delbruck|United States biologist (born in Germany) who studied how viruses infect living cells (1906-1981)
Leo Delibes|French composer of operas (1836-1891)
Delilah|(Old Testament) the Philistine mistress of Samson who betrayed him by cutting off his hair and so deprived him of his strength
Frederick Delius|English composer of orchestral works (1862-1934)
Philibert Delorme|French royal architect who built the Tuileries Palace and Gardens in Paris for Catherine de Medicis (1515-1570)
Demetrius I|son of Antigonus Cyclops and king of Macedonia; he and his father were defeated at the battle of Ipsus (337-283 BC)
Agnes de Mille|United States dancer and choreographer who introduced formal dance to a wide audience (1905-1993)
Cecil B. DeMille|United States film maker remembered for his extravagant and spectacular epic productions (1881-1959)
Democritus|Greek philosopher who developed an atomistic theory of matter (460-370 BC)
Demosthenes|Athenian statesman and orator (circa 385-322 BC)
Jack Dempsey|United States prizefighter who was world heavyweight champion (1895-1983)
Teng Hsiao-ping|Chinese communist statesman (1904-1997)
Robert De Niro|United States film actor who frequently plays tough characters (born 1943)
Gerard Depardieu|French film actor (born in 1948)
Thomas De Quincey|English writer who described the psychological effects of addiction to opium (1785-1859)
Andre Derain|French painter and exponent of fauvism (1880-1954)
Jacques Derrida|French philosopher and critic (born in Algeria); exponent of deconstructionism (1930-2004)
Ferdinand de Saussure|Swiss linguist and expert in historical linguistics whose lectures laid the foundations for synchronic linguistics (1857-1913)
Descartes|French philosopher and mathematician; developed dualistic theory of mind and matter; introduced the use of coordinates to locate a point in two or three dimensions (1596-1650)
Vittorio De Sica|Italian film maker (1901-1974)
Eamon de Valera|Irish statesman (born in the United States); as president of the Irish Free State he was responsible for the new constitution of 1937 that created the state of Eire (1882-1975)
De Vries|Dutch botanist who rediscovered Mendel's laws and developed the mutation theory of evolution (1848-1935)
Sir James Dewar|Scottish chemist and physicist noted for his work in cryogenics and his invention of the Dewar flask (1842-1923)
Dewey|United States pragmatic philosopher who advocated progressive education (1859-1952)
George Dewey|a United States naval officer remembered for his victory at Manila Bay in the Spanish-American War
Melvil Dewey|United States librarian who founded the decimal system of classification (1851-1931)
Sergei Diaghilev|Russian ballet impresario who founded the Russian ballet and later introduced it to the West (1872-1929)
Princess Diana|English aristocrat who was the first wife of Prince Charles; her death in an automobile accident in Paris produced intense national mourning (1961-1997)
Duchesse de Valentinois|French noblewoman who was the mistress of Henry II; she had more influence over him than did his wife Catherine de Medicis (1499-1566)
Dias|Portuguese explorer who in 1488 was the first European to get round the Cape of Good Hope (thus establishing a sea route from the Atlantic to Asia) (1450-1500)
Dickens|English writer whose novels depicted and criticized social injustice (1812-1870)
Emily Dickinson|United States poet noted for her mystical and unrhymed poems (1830-1886)
Denis Diderot|French philosopher who was a leading figure of the Enlightenment in France; principal editor of an encyclopedia that disseminated the scientific and philosophical knowledge of the time (1713-1784)
Joan Didion|United States writer (born in 1934)
Rudolf Diesel|German engineer (born in France) who invented the diesel engine (1858-1913)
Marlene Dietrich|United States film actress (born in Germany) who made many films with Josef von Sternberg and later was a successful cabaret star (1901-1992)
Paul Heinrich Dietrich|French philosopher (born in Germany) famous as being one of the first self-described atheists in Europe
Joe DiMaggio|United States professional baseball player noted for his batting ability (1914-1999)
Isak Dinesen|Danish writer who lived in Kenya for 19 years and is remembered for her writings about Africa (1885-1962)
Gaius Aurelius Valerius Diocletian|Roman Emperor who when faced with military problems decided in 286 to divide the Roman Empire between himself in the east and Maximian in the west; he initiated the last persecution of the Christians in 303 (245-313)
Diogenes|an ancient Greek philosopher and Cynic who rejected social conventions (circa 400-325 BC)
Dionysius the Elder|the tyrant of Syracuse who fought the Carthaginians (430-367 BC)
Diophantus|Greek mathematician who was the first to try to develop an algebraic notation (3rd century)
Christian Dior|French couturier whose first collection in 1947 created a style that became known as the New Look (1905-1957)
Paul Adrien Maurice Dirac|English theoretical physicist who applied relativity theory to quantum mechanics and predicted the existence of antimatter and the positron (1902-1984)
Walt Disney|United States film maker who pioneered animated cartoons and created such characters as Mickey Mouse and Donald Duck; founded Disneyland (1901-1966)
Benjamin Disraeli|British statesman who as Prime Minister bought controlling interest in the Suez Canal and made Queen Victoria the empress of India (1804-1881)
Dorothea Dix|United States social reformer who pioneered in the reform of prisons and in the treatment of the mentally ill; superintended women army nurses during the American Civil War (1802-1887)
E. L. Doctorow|United States novelist (born in 1931)
Ray M. Dolby|United States electrical engineer who devised the Dolby system used to reduce background noise in tape recording
Placido Domingo|Spanish operatic tenor noted for performances in operas by Verdi and Puccini (born in 1941)
Saint Dominic|(Roman Catholic Church) Spanish priest who founded an order whose members became known as Dominicans or Black Friars (circa 1170-1221)
Fats Domino|United States rhythm and blues pianist and singer and composer (born in 1928)
Titus Flavius Domitianus|Emperor of Rome; son of Vespasian who succeeded his brother Titus; instigated a reign of terror and was assassinated as a tyrant (51-96)
Donato di Betto Bardi|Florentine sculptor famous for his lifelike sculptures (1386-1466)
Aelius Donatus|Roman grammarian whose textbook on Latin grammar was used throughout the Middle Ages (fourth century)
Gaetano Donizetti|Italian composer of operas (1797-1848)
Don Juan|a legendary Spanish nobleman and philanderer who became the hero of many poems and plays and operas
Bryan Donkin|English engineer who developed a method of preserving food by sterilizing it with heat and sealing it inside a steel container--the first tin can (1768-1855)
Donne|English clergyman and metaphysical poet celebrated as a preacher (1572-1631)
Jimmy Doolittle|United States Air Force officer who electrified the world in 1942 by leading a squadron of 16 bombers on a daylight raid over Tokyo (1896-1993)
Christian Johann Doppler|Austrian physicist famous for his discovery of the Doppler effect (1803-1853)
John Dos Passos|United States novelist remembered for his portrayal of life in the United States (1896-1970)
Dostoyevsky|Russian novelist who wrote of human suffering with humor and psychological insight (1821-1881)
Stephen A. Douglas|United States politician who proposed that individual territories be allowed to decide whether they would have slavery; he engaged in a famous series of debates with Abraham Lincoln (1813-1861)
Frederick Douglass|United States abolitionist who escaped from slavery and became an influential writer and lecturer in the North (1817-1895)
